time;X;Y;Z;Roll;Pitch;yaw
1.9033585;0;0;600;2.699708223;-7.269584656;-0.003074924
1.9133606;0;0;600;2.699629545;-7.268753052;-0.003074924
1.9233627;0;0;600;2.699592113;-7.267985344;-0.002979574
1.9733734;0;0;600;2.6995368;-7.263373375;-0.002622049
1.9833755;0;0;600;2.699545145;-7.262542725;-0.003041569
1.9933777;0;0;600;2.699508905;-7.261700153;-0.002693634
2.0033798;0;0;600;2.699406147;-7.260911942;-0.002860371
2.013382;0;0;600;2.699419022;-7.260021687;-0.002908089
2.0233841;0;0;600;2.699431181;-7.259041309;-0.002860371
2.0333862;0;0;600;2.69946599;-7.258029461;-0.003122644
2.0433884;0;0;600;2.699478149;-7.257105827;-0.003194129
2.0533905;0;0;600;2.699467182;-7.256269932;-0.00290806
2.0633926;0;0;600;2.699451685;-7.255528927;-0.002788914
2.0733948;0;0;600;2.699392796;-7.254743576;-0.002479079
2.0833969;0;0;600;2.699359417;-7.253807068;-0.002764992
2.093399;0;0;600;2.699289083;-7.252800465;-0.003170334
2.1034012;0;0;600;2.699261427;-7.25178194;-0.003504064
2.1134033;0;0;600;2.699294567;-7.250859737;-0.003432445
2.1234055;0;0;600;2.699280739;-7.250010014;-0.002884194
2.1334076;0;0;600;2.699263811;-7.249179363;-0.002812781
2.1434097;0;0;600;2.699204922;-7.248373508;-0.002765019
2.1534119;0;0;600;2.699173689;-7.247498512;-0.002788914
2.163414;0;0;600;2.69916749;-7.246549129;-0.002931955
2.1734161;0;0;600;2.699141502;-7.24552536;-0.003122644
2.1834183;0;0;600;2.699134588;-7.244529724;-0.003408684
2.1934204;0;0;600;2.699080706;-7.243653774;-0.003241687
2.2234268;0;0;600;2.699100018;-7.24124527;-0.003051159
2.233429;0;0;600;2.699112177;-7.240272045;-0.002590247
2.2434311;0;0;600;2.699105501;-7.239313126;-0.003098818
2.2534332;0;0;600;2.699117661;-7.238451958;-0.003098749
2.2634354;0;0;600;2.69904089;-7.237608433;-0.002741224
2.2734375;0;0;600;2.698939562;-7.236807346;-0.002979644
2.2834396;0;0;600;2.698838949;-7.236007214;-0.002955779
2.2934418;0;0;600;2.698828459;-7.235146046;-0.002908089
2.3034439;0;0;600;2.698863268;-7.234199047;-0.002836576
2.313446;0;0;600;2.698919058;-7.233185768;-0.002955679
2.3234482;0;0;600;2.698953152;-7.232226849;-0.003170334
2.3334503;0;0;600;2.698921204;-7.231378078;-0.002979545
2.3434525;0;0;600;2.698908806;-7.230615616;-0.002908189
2.3534546;0;0;600;2.698850632;-7.229872227;-0.002478955
2.3634567;0;0;600;2.698774099;-7.229054928;-0.002622049
2.3734589;0;0;600;2.698723316;-7.228088856;-0.002931984
2.383461;0;0;600;2.698697805;-7.227082729;-0.003313271
2.3934631;0;0;600;2.698753595;-7.226127625;-0.003337099
2.4034653;0;0;600;2.698845863;-7.225274563;-0.002955779
2.4134674;0;0;600;2.698852062;-7.22445488;-0.00245516
2.4234695;0;0;600;2.698758841;-7.223651409;-0.002645944
2.4334717;0;0;600;2.698521614;-7.222669601;0.044694114
2.4434738;0;0;600;2.699047327;-7.220940113;0.045527884
2.4934845;0;0;600;2.6994946;-7.214600563;0.055134722
2.5034866;0;0;600;2.699768305;-7.212749004;-0.007041393
2.5134888;0;0;600;2.699571609;-7.210756302;-0.016232891
2.5234909;0;0;600;2.69979167;-7.209122181;0.040403111
2.533493;0;0;600;2.70048666;-7.20788002;-0.017472431
2.5434952;0;0;600;2.700889826;-7.207073212;-0.013563152
2.5534973;0;0;600;2.700875521;-7.206222057;-0.01713853
2.5634995;0;0;600;2.700815678;-7.205413342;-0.002860399
2.5735016;0;0;600;2.701184273;-7.204427242;-0.002860471
2.5835037;0;0;600;2.701216221;-7.203526497;-0.014683416
2.5935059;0;0;600;2.701229572;-7.202540398;-0.002836604
2.603508;0;0;600;2.701244116;-7.201544762;-0.003170303
2.6135101;0;0;600;2.701104641;-7.200632095;-0.003217924
2.6235123;0;0;600;2.701352119;-7.200145721;0.04138071
2.6335144;0;0;600;2.702058792;-7.199885845;-0.016494871
2.6435165;0;0;600;2.702044249;-7.199363232;-0.012752722
2.6535187;0;0;600;2.702327251;-7.198182583;-0.022072965
2.6635208;0;0;600;2.702213764;-7.196563244;-0.018854752
2.6735229;0;0;600;2.702226162;-7.195576191;-0.024146729
2.6835251;0;0;600;2.702456713;-7.194477081;-0.003194129
2.6935272;0;0;600;2.702418804;-7.193649292;-0.022120434
2.7035294;0;0;600;2.702337742;-7.192876339;-0.002836504
2.7135315;0;0;600;2.702672958;-7.191735744;-0.002812781
2.7235336;0;0;600;2.702684402;-7.190803528;-0.080687756
2.7335358;0;0;600;2.702695847;-7.189793587;-0.003027264
2.7435379;0;0;600;2.702706575;-7.188827038;-0.003289476
2.75354;0;0;600;2.702672243;-7.187983513;-0.003146439
2.7635422;0;0;600;2.702612877;-7.187202454;-0.002884294
2.7735443;0;0;600;2.702573299;-7.186463833;-0.002764992
2.7835464;0;0;600;2.702491045;-7.185637474;-0.002550564
2.7935486;0;0;600;2.702457428;-7.1846838;-0.002979574
2.8035507;0;0;600;2.702424288;-7.183686256;-0.003265682
2.8135529;0;0;600;2.702456236;-7.182733536;-0.003408584
2.823555;0;0;600;2.702508211;-7.181867123;-0.003003439
2.8335571;0;0;600;2.702512026;-7.180995464;-0.002645944
2.8435593;0;0;600;2.702452183;-7.180181503;-0.002860399
2.8535614;0;0;600;2.702349424;-7.179392815;-0.002884165
2.8635635;0;0;600;2.702316046;-7.17853117;-0.002979674
2.8735657;0;0;600;2.702286959;-7.177586079;-0.002908089
2.8835678;0;0;600;2.702255487;-7.176570892;-0.003194097
2.8935699;0;0;600;2.702245712;-7.175611496;-0.003480169
2.9035721;0;0;600;2.702231407;-7.174767971;-0.003170334
2.9135742;0;0;600;2.702279091;-7.174000263;-0.002788886
2.9235764;0;0;600;2.702302217;-7.173250675;-0.002359804
2.9335785;0;0;600;2.702270746;-7.172282696;-0.002359881
2.9435806;0;0;600;2.702219963;-7.171272755;-0.003289409
2.9535828;0;0;600;2.702213287;-7.170341969;-0.003504064
3.0035934;0;0;600;2.702692747;-7.165343285;-0.003074924
3.0135956;0;0;600;2.70268321;-7.164365768;0.008042535
3.0235977;0;0;600;2.702673197;-7.163376808;-0.003217892
3.0335999;0;0;600;2.702599287;-7.162289143;-0.003265714
